date,text,label
2015년 6월 22일,한 눈에 정보를 보고 변경하기도 편리합니다. 엘지로 옮기고 만족합니다. 타회사는 필수어플들에(지워지지도 않는) 돈 벌려는 모습이 너무 농후해보여서 불편해요. 엘지는 깔끔해서 좋음.,1
2015년 6월 16일,전 진짜 잘쓰구있는딩...ㅜㅜ,1
2015년 6월 18일,고객 만족을 위하여 노럭하시는 LGU+ 에게 힘내시라고 전해드립니다.더욱더 고객사랑을 많이 받기를 바랍니다,1
2015년 6월 13일,님들 이런앱 님들이 만들어봐요~~ 앱개발 엄청 어려워요~~,1
2015년 6월 27일,유플앱은 타사에서 이동해온 사람들만 이게 얼마나 괜찮은지 아는 것 같음,1
2015년 6월 22일,차별화된 LGU+만의 고객서비스로 고객의 불편함을 빠르고 편리하게 해결해줄거 같네요~ 다양한 정보도 얻을수있어서 넘 좋네요~^^♡ 앞으로도 질좋은 서비스 부탁드릴게요!!,1
2015년 6월 13일,"데이터,문자,링 등 내가얼마나썼는지볼수있고여러가지안내같은것들이많이도움이되요.",1
2015년 6월 13일,여기서 삼성이 왜나오니ㅋㅋㅋ통신사를 따질꺼면 kt랑 sk인데 삼성이라니ㅋㅋ일단 멀좀 알고 글을 쓰시던지ㅋㅋㅋㅋㅋ웃고가요ㅋㅋㅋㅋ,2
2015년 6월 26일,난 엘지 좋은뎅 그리고 이 앱 쓸모도많고 난좋움 짱짱,1
2015년 6월 18일,평생 써야징,1
2015년 6월 19일,ㅠㅠ,2
2015년 6월 28일,훨씬 편리하게 만들었네요 사용량확인도. 자녀 사용량까지 확인 금방되서 좋군요~^^,1
2015년 6월 22일,다른평들이 다앙좋네요 전 유플러스가 제일 깔끔하고 보기 좋다고생각되는데 물론 필요업ㄹ는 딩동 뭐이런게 깔ㄹㅣ긴하지만,1
2015년 6월 3일,대혁명임ㅋㅋ,1
2015년 6월 18일,전 잘쓰고 있는데 제작자 님한테 뭐라하지마세요,1
2015년 6월 26일,흠,2
2015년 6월 11일,유플을 오래 써보니...느껴지는가 봐요.,2
2015년 6월 4일,유쁘라스...,2
2015년 6월 29일,내가믿고쓰는거니까,1
2015년 6월 20일,간편하게 확인할수 있어서 좋아요 잘쓰고 있답니다,1
2015년 6월 25일,유플러스 가입했는데 ..,2
2015년 6월 26일,빠르고넘좋와졌어요,1
2015년 6월 12일,좋아요,1
2015년 6월 10일,아주 조쿠여,1
2015년 6월 27일,그래서좋아요~♥,1
2015년 6월 20일,우리의사랑을위하여..,1
2015년 6월 3일,없어,2
2015년 6월 24일,서비스최고,1
2015년 6월 21일,조아요,1
2015년 6월 10일,자세한설명,1
2015년 6월 24일,좋아요,1
2015년 6월 25일,좋음,1
2015년 6월 1일,기본런처고 다운앱은 다뜨는데 이앱이없어요 아무리찾아도,1
2015년 6월 3일,미리 요금을 알 수 있어 요금 조절 절약할 수 있슴.~,1
2015년 6월 1일,너무 너무 좋습니다,1
2015년 6월 1일,한눈에 사용량과 요금조회를 할수있어서 너~무 좋아요^^ 쵝오!,1
2015년 6월 1일,편리하고 개좋음,1
2015년 6월 1일,간단하게 조회 할수있어좋네요.~,1
2015년 6월 2일,좋아요,1
2015년 5월 8일,사용하기 편하네요,1
2015년 5월 9일,편리해서 좋아요,1
2015년 5월 22일,실시간으로알수있으니너무좋아요 ㅎ,1
2015년 5월 19일,사용이 편리하고 보기에 편해요,1
2015년 5월 25일,아직잘모르겠씀,2
2015년 5월 10일,이것 저것 확인하기좋게 되어있네요,1
2015년 5월 16일,엘지 유플러스 ♥♥♥,1
2015년 5월 25일,좋아요,1
2015년 5월 22일,굿,1
2015년 5월 8일,유플은 꼭 다운받아서 핸드폰을 조회하고 할수있는 유용한 앱이지만 항상 유플쓰다보면 생각드는게 왜이리 sk를 쓰고싶은지... 이런생각 안들게 잘 해주시길..,2
2015년 5월 7일,ㅈㄱㄴ,2
2015년 5월 7일,통신내역을 한눈에,2
2015년 5월 7일,친절하게 상담 해주셔서 감사합니다^^,1
2015년 5월 8일,짱입니다,1
2015년 5월 7일,편리해서 좋아요,1
2015년 4월 13일,편리하구 한눈에속속들어와서조아요^^,1
2015년 4월 8일,편하고스기좋아요,1
2015년 4월 3일,ㄴ답,2
2015년 4월 10일,고객센타,2
2015년 4월 7일,최곱니다,1
2015년 6월 5일,제공하는 요금제를 볼때 가시성을 고려해서 3달 평균 사용량과 제공하는 서비스 내용을 막대 차트등으로 직접 비교가 가능하세 표기해주시면 좋을듯..,0
2015년 6월 5일,고치기나하지 뭔 로그인을 못하는데 쓰지도못할 기능을 추가하는지 나원....,0
2015년 6월 30일,경쟁사 kt조차도 위젯나오는데 도대체 위젯은언제됩니까?? 별하나도아까움,0
2015년 6월 25일,핸드폰 팔때 이게 너무 최신꺼라.. 그래서.. )막 이러식으로 안돼는 것들 다 핑계대더니 이젠 앱도 안돼요? 제출하는 것도 안돼서 결국 딴 폰으로 하는데. 이럴꺼면 폰을 팔지 말던가 폰을 팔았으면 이런 세부적인 앱이라도 잘 되게 하던가. 아 진짜. 진심 유플러스 정떨어져 7년동안 내가 유플러스만 쓴 내가 호구지 와나 빨리 호환시켜줘요 삼성 탭 사용잡니다.(SM-T805L),0
2015년 6월 23일,말과 행동이 너무나 달라 어이가 없다,0
2015년 6월 18일,납부 방법 변환이나 청구서 받는것 더 많은 기능좀 추가해주세요 고객센터에 따로 전화하지않아도 되게,0
2015년 6월 5일,멤버쉽카드신청하면 정보조회가올바르지않습니다 뭐 이렇게만뜨는데 죄송합니다 이문구만뜨면다인가요? 이런걸 고칠생각좀하세요,0
2015년 6월 25일,기존에 이용할때보다 사용하기 더 어렵고 불편하네요! 어플디자인 불편하게 만든사람 쓰레기같아요^^ 최악이네 기존 즐겨찾기라도 그대로 놔두던가ㅡㅡ,0
2015년 6월 24일,"바뀐거는 쥐똥만큼 바꿔놨으면서 업데이트 안하면 사용도 못하게 해놓고, 먼놈의 오류는 업데이트를 하면 더 늘어만 가는거같고...",0
2015년 6월 21일,통화품질. 요금제. 무언가 기대한적도 없지만 전반적인 모든게 별루네여. 8년째 u+에 잇엇지만 더이상 사용 못하겟네여,0
2015년 6월 26일,쓸데없는 것만 업뎃하지말고 좀 실용적인 것좀 업뎃해라 lg사발면아,0
2015년 6월 15일,자꾸업뎃이되네요..ㅠㅠ,0
2015년 6월 10일,옵티머스lte2인데 로그인하려면 키보드자판이라도 나와야하는데 자판이안나와서 지금 로그인도 못하고있네염ㅡㅡ뭡니까 저번주부터 못하고있는데 신속히 대처바랍니다,0
2015년 6월 26일,제 데이터 150MB정도 썼다고 되있더니 갑자기 데이터 다 썼다네요? 저희 엄마폰도 표시제대로 안되서 데이터 다 나가셨구요. 데이터표시 제대로 좀 해주시죠.,0
2015년 6월 22일,도데체 이기능을 왜넣은거야...그럼 자동로그인의 존재의미가 없자나...후...,0
2015년 6월 23일,3사중에 유일하게 위젯없고 기술력이없는건지.. 여러모로 많이 부족해보여 눈물이나네요,0
2015년 6월 10일,아프리카 티비를 플레이스토어에서 업데이트가 안된다고 유플러스에서 하라니까 유플러스는 아프리카티비가 없는데 이거뭐임,0
2015년 6월 16일,아니 몇일동안 로그인이 원활하지가 않다고만 하는지...,0
2015년 6월 22일,꼭 갈아탈거임,0
2015년 6월 13일,왜? 업뎃안하면 못보게함?? ㅋㅋㅋ,0
2015년 6월 7일,타 통신사처럼 데이터잔량 위젯좀 만들어 주세요ㅠ 서비스 진짜최악ㅜㅜ,0
2015년 6월 13일,당장갈아타야지... 대체장점이뭐에요... 진짜불편,0
2015년 6월 8일,위젯 좀 만들어 주세요.. 그나마 사용자가 만들었던 위젯은 왜 막아놨답니까.,0
2015년 6월 14일,헬지. 데이터만 잘터지네 말도안되는 부가서비스 끊지도못하게하네,0
2015년 6월 4일,안 만드는겁니까 못 만드는겁니까. 못 만드는거면 이유가 있는겁니까 능력이 안되는겁니까?,0
2015년 6월 9일,유플러스 관련된 서비스 자기들 마음대로 설치해놓고 데이터마저 훔쳐갑니까? 다시는 유플러스 사용하지 않을겁니다.,0
