	2021년 3월 12일	별표 5개 만점에 1개를 받았습니다.	일시적인 오류(10)와이파이 끄라고해서 껏고 메일 보내라고 해서 보냈고 그럼 피드백 이 있어야하는거 아닌가요? 유관 부서로 메일 포워딩 하려고 보내라고 했습니까? 메일에도 말했듯이 이용료 내면서 이용하는 고객의 입장에서 내가 왜 이런 불편을 느껴야 하는지 이해가 전혀 가지 않네요 벌써 열흘도 훨씬 넘었네요 빠른 답변 바랍니다 ㅡ.ㅡ	0
11054	2018년 10월 16일	별표 5개 만점에 3개를 받았습니다.	일본영화좀 많이	1
16039	2018년 8월 26일	별표 5개 만점에 1개를 받았습니다.	앱을 들어가면 에러코드 B05n이 뜨면서 일시적인오류라고 나오는데 잘 사용하다 요즘 오류가 참 많이 발생해서 쓰기 불편하네요ㅡㅡ또 파일관리자에서 머 삭제하고 어쩌고해서 쓰고 그래도 안되면 고객센터문의하세요 이런답변주시는거라면 다른 제발 다른 답변좀 주세요	0
13764	2019년 2월 22일	별표 5개 만점에 5개를 받았습니다.	깔끔함.	1
12221	2019년 12월 21일	별표 5개 만점에 5개를 받았습니다.	🤗🤗🤗🤗🤗🤗	1
6137	2019년 8월 18일	별표 5개 만점에 1개를 받았습니다.	영화삿는데 접속이안되면 어떻게보라는거임? 말도안되잖아;;	0
15227	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	Good	1
13346	2019년 6월 26일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
12901	2019년 10월 12일	별표 5개 만점에 5개를 받았습니다.	굿	1
6898	2018년 10월 6일	별표 5개 만점에 5개를 받았습니다.	영화보는것이너무좋습니다.지속적인영화를지원해주셨으면감사하겠습니다^^	1
14657	2019년 2월 2일	별표 5개 만점에 5개를 받았습니다.	ㅎㅎㅎ 굿	1
10927	2018년 10월 16일	별표 5개 만점에 5개를 받았습니다.	너무좋어요	1
4169	2019년 2월 28일	별표 5개 만점에 2개를 받았습니다.	지상파 왜월정액서비스왜없어지는건가요??? 그나마 다시보기하는데 쫌그러네요 화면넘기기도힘들고ㅡㅡ	0
9289	2019년 12월 27일	별표 5개 만점에 3개를 받았습니다.	없는게 많구..보던 드라마 연결해서 보는게 불편	1
13282	2019년 6월 7일	별표 5개 만점에 5개를 받았습니다.	최고	1
14094	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	시스템이쓰레기	0
2284	2019년 7월 4일	별표 5개 만점에 3개를 받았습니다.	영화를 보면 최근영상에 최근에 본영화가 떠서 편했는데 지난주부터 최근영상에 최근에본영화가 뜨지않아서 볼려면 다시검색해서 봐야하니 불편합니다. 그리고 리프레시가 자주일어납니다. 빨리고쳐주세요.	1
