date,text,label,클러스터 이름
2016년 2월 15일,헬로마켓 5000원적립이벤트 알고계신가요~~? 너무좋아요ㅠㅠ 이것저것 살것두많구 모두 내돈으로 충당! 조금이라도저렴하고 알뜰하게 구입하고 싶으시다면 헬로마켓 깔고!회원가입할때 초대코드에 VCGJ 넣어주시면 5000포인트증정!! 그냥가입하시면 5000포인트 안드려요!! 꼭 VCGJ 넣어주세요♡,2,
2016년 3월 1일,조금 주는게 아니라 요금제가 다른거겠죠.,2,
2016년 2월 24일,중요한 정보는 다 들어잇어서 딱히 불편한게 없어요,1,
2016년 3월 20일,데이터 조금준다는 사람은 뭡니까 자신이 요금제를 싼걸 했나부지 하면되는걸...,2,
2016년 2월 15일,불평 줜나게 많네 걍 써라,1,
2016년 3월 12일,지금 거의 3년째 이앱 쓰고 있는것 같아요 되게 좋아요 !☺,1,
2016년 3월 17일,사 랑 하 고 싶 은 사 람,2,
2016년 2월 26일,유플러스 해지하려 업데이트함,2,
2016년 2월 24일,실시간도 나쁘진않고 운전하면서 쓰기 좋네요 업댓만 자주해주세요.....,1,
2016년 3월 5일,사용하는데 별지장없이 잘쓰고있습니다,1,
2016년 2월 25일,김 영 운,2,
2016년 3월 1일,유플러스 짱짱맨입니다,1,
2016년 2월 17일,괜찬은데요,1,
2016년 3월 1일,좋아요,1,
2016년 2월 2일,전 업글후 잘만 되는데 당신들 폰이 후진거 아닌가... 전 노트5에영,1,
2016년 2월 3일,강력하게 원합니다.,2,
2016년 2월 15일,위젯 없어도되요,1,
2016년 2월 23일,Good,1,
2016년 3월 2일,굳,1,
2016년 2월 29일,좋아요,1,
2016년 3월 21일,조아요,1,
2016년 2월 24일,오늘.우리가.마라게됨을우리는영광스럽게.생각하셔야하니다,2,
2016년 1월 28일,잘모르겟어요,1,
2016년 2월 24일,셋팅좋음,1,
2016년 2월 1일,좋아요,1,
2016년 1월 20일,글을 보시면 자기가 사랑하는 사람과 가까워진데요 이글을 보고 바로 끄면 안돼구요 5군데 올려야돼요 만약 이글을 무시하고 끄면 새벽 3시 28분 18.24초에 파란물체가 보일거예요 그게 바로 귀신인데 널커롭고 뾰족한 흉기로죽인데요...,2,
2016년 1월 19일,유플러스짱,1,
2016년 1월 20일,초아요,1,
2016년 2월 25일,좋아,1,
2016년 1월 13일,님들 폰이 썩은거 아님? 그러면 폰을 바꿔 나같이 s6엣지로,1,
2016년 2월 27일,안되잖아,2,
2016년 3월 7일,구레이트,2,
2016년 3월 1일,게좋네,1,
2016년 3월 31일,비밀번호도 알수있나요?,2,
2016년 3월 8일,이거는 일본말입니다,2,
2016년 2월 12일,쓸만했다고요,1,
2016년 3월 9일,이거 맘애들어 데이터 량 딱딱정확하게 나오고ㅋ완전뙝큐한 앱이라서 난 만점줌,1,
2016년 3월 31일,"긴 영어로 된 오류메시지가 떠요. 바이러스 먹었을까봐 놀라서 캡쳐도 못하고, 그냥 지웠다가 지금 다시 설치했는데 겁나네요. ㅜㅜ 업댓후 접속지연 및 불안정하네요.",0,업데이트 오류
2016년 3월 18일,사용 못 하는 어플이 왜 만들어졌는지 모르겠네요 별하나도 아까워요 어플 만들고 업데이트는 하는데 고객이 사용 못한다라.. 따진다고 바뀌는 것도 없고 그냥 통신사 옮기는게 차라리 나을듯..,0,업데이트 오류
2016년 3월 17일,99프로에달하는사람들이 지금 기존 유플리얼맵에 너무나 못미치는 이번유네비에 불편함을토로합니다 리뷰 몇분만봐도 답나오니. . 어서 기존유플리얼네비수준까진 업그레이드해주세요 그이상은기대도안됩니다 적어조 기존맵수준이라도됐음좋겠네요 폰네비때문에 통신사바꿀판이에요,0,업데이트 오류
2016년 2월 15일,어플 특별히 문제 없이 잘 쓰고 있어요 근데 KT처럼 데이터 통화 문제량 실시간으로 볼수 있도록 상단바에서 볼수 있도록 기능 개선 되면 좋겠네요,0,위젯
2016년 3월 20일,비밀번호4자리 설정하러 해도 항상 뭔가 서비스가 원활히 안된다고 아무것도 할 수가 없네요... 이 앱 왜 있는지 모르겠어요,0,서비스
2016년 3월 19일,hd 스트리밍 프리없어졌어요? 거기서 앱실행 버튼이없어서 그냥 엠넷 5500짜리결제했는데 데이터차감되는듯? 안내를 제대로좀 해줘요,0,실행 오류
2016년 2월 17일,나만 그런게 아닌거 같은데 지금 쌩까고 있는거냐?유플 안되겠네...그게 뭐 대단한 기술이 필요하다고..정말..,0,위젯
2016년 2월 20일,"두번이나 우롱당하고.. 거지 취급당하고...... 휴대폰, 인터넷.. 5년동안 쓴게 너무 아깝다...",0,위젯
2016년 3월 14일,평가에 대한 답도 없네.... 유네비로 바뀐다고해서 데이터써가며 설치했더니 기존에 있던 과속카메라도 없고.... 거긴 아예 평가글 막아놓음 ㅎㅎㅎㅎㅎ,0,업데이트 오류
2016년 3월 18일,개별로 데이터도 업어죽겠는데 자꾸 업데이트하래,0,업데이트 오류
2016년 2월 22일,"지금유플러스만 페이스북, 인스타그램 다안대하잔씁니까 ㅋㅋㅋ이게뭐하는짓인데요진짜 많은사람들이 다항의하고잇는데 확 통신사옴기뿔까진짜로 뭐점검한다카면 말을해주든가요 미리공지ㄹ로 이기뭡니까 진짜화나내요 빨리고쳐주세요지금 자지말고 진짜로인간이그러면안됩니다",0,위젯
2016년 3월 8일,아침 낮 저녁 다안되요 이용자수가 많다는데. 지금 새벽이거든요 ㅡㅡ?,0,위젯
2016년 2월 16일,케이티처럼상태줄에표시가되면합니다,0,서비스
2016년 3월 1일,아니 데이터양 확인하려고 계속 앱에 들어가야함? 빨리 위젯좀 만들어주세요.,0,위젯
2016년 2월 25일,부산지하철 안에 와이파이존 왜 하나도 없나요 그래서그런지 주위에 거의다가 T판이네요... 부럽 약정 끝나면 확 옮겨..,0,실행 오류
