question,user,category,detail1,detail2,detail3,detail4
갑자기 인터넷 연결이 되지 않습니다.,개인,인터넷,장애/고장,,,
U+인터넷/전화/IPTV 부가서비스를 변경 또는 해지하려면 어떻게 해야 하나요?,개인,가입 및 변경,인터넷,,,
사용하던 U+ 휴대폰(모바일)을 일지정지 하려고 합니다. 어떻게 해야 하나요?,개인,가입 및 변경,모바일,,,
휴대폰 해지 시 가입비를 돌려 받을 수 있나요?,개인,가입 및 변경,모바일,,,
핸드폰을 분실했는데 일시정지를 어떻게 하나요?,개인,가입 및 변경,모바일,,,
요금이 미납된 경우에는 어떻게 납부해야 하나요?,개인,요금 및 납부,요금납부,,,
"셋톱박스의 전원은 켜져있는데, TV 화면이 나오지 않습니다.",개인,TV,장애/고장,,,
할인옵션은 무엇이 있나요?,개인,혜택,기타 할인 혜택,,,
"신용카드 자동이체는 어떻게 신청하고, 어떤 혜택이 있습니까?",개인,혜택,기타 할인 혜택,,,
"데이터 무제한 서비스가 있는데, U+zone 이용할 필요가 있나요?",개인,인터넷,U+zone,상품안내,,
"TV화면이 제대로 나오지 않아요 (화면 모자이크 / 화면 깨짐 및 멈춤 현상 / TV화면에 ""채널신호 수신 중"" 문구가 뜨는 경우)",개인,TV,장애/고장,,,
이사 때문에 인터넷을 다시 설치해야 하는데 방법을 알려주세요.,개인,가입 및 변경,설치장소 변경,,,
휴대폰 번호변경을 하고싶습니다. 직접 신청할 수 있나요?,개인,서비스안내,홈페이지이용관련,,,
U+zone은 어떻게 이용하나요?,개인,인터넷,U+zone,가입신청,,
리모컨의 모든 버튼이 작동되지 않습니다.,개인,TV,장애/고장,,,
멤버십 VVIP+/VIP+/VVIP/VIP 등급인데요. 나만의 콕 영화예매는 어떻게 하나요?,개인,혜택,멤버십 혜택,멤버십제휴사,,
멤버십 카드 서비스에 대해서 알고 싶습니다.,개인,혜택,멤버십 혜택,멤버십카드 / 앱,,
U+zone은 무엇인가요?,개인,인터넷,U+zone,상품안내,,
청구서는 언제 도착하나요?,개인,요금 및 납부,요금조회,,,
월별 청구요금을 확인하고 싶습니다.,개인,요금 및 납부,요금조회,,,
요금제를 월 중간에 변경할 경우 요금과 부가서비스는 어떻게 적용되는 건가요?,개인,요금 및 납부,요금조회,,,
청구요금의 상세 내역이 궁금해요.,개인,요금 및 납부,요금조회,,,
C-14026(또는 S-69001) 오류코드가 뜹니다. 무엇인가요?,개인,TV,장애/고장,,,
미납으로 서비스가 중지되었습니다. 요금을 납부하면 바로 서비스를 이용할수 있나요?,개인,요금 및 납부,요금납부,,,
U+zone에 어떻게 가입하나요?,개인,인터넷,U+zone,가입신청,,
요금을 납부할 수 있는 방법으로는 어떤 종류가 있나요?,개인,요금 및 납부,요금납부,,,
U+인터넷전화에서 와이파이 연결방법이 궁금합니다.,개인,전화,인터넷전화,장애/고장,,
E-mail 청구서가 오지 않은데 어떻게 해야 하나요?,개인,요금 및 납부,요금조회,,,
U+ 인터넷전화 번호변경 시 요금이 부과되나요?,개인,가입 및 변경,인터넷전화,,,
약정할인을 중도에 해지할 경우 할인반환금이 부과되나요?,개인,혜택,요금할인,,,
인터넷 약정이 끝나면 요금은 어떻게 되나요?,개인,인터넷,요금안내,,,
전화차단 시 상대방에게는 어떤 멘트가 나가나요?,개인,모바일,부가서비스,통화/메시지,지정번호필터링,
속도 측정방법을 알려주세요.,개인,인터넷,장애/고장,,,
ez포인트(이지포인트) 사용 방법이 궁금해요.,개인,혜택,멤버십 혜택,멤버십카드 / 앱,,
"U+인터넷, U+인터넷전화 상품을 약정기간 내에 해지시 위약금이 발생되나요?",개인,가입 및 변경,인터넷,,,
U+와이파이100은 무엇인가요?,개인,인터넷,장비안내,와이파이,,
"홈페이지에서 해지상담 신청절차는 어떻게 되며, 처리까지 얼마나 걸리나요?",개인,가입 및 변경,인터넷,,,
단통법이란 무엇인가요?,개인,혜택,휴대폰 살때 할인,단통법,,
요금이 이중 납부되었습니다. 환불은 어떻게 받나요?,개인,요금 및 납부,요금납부,,,
U+스마트홈 앱에서 AI리모컨 상태가 연결 끊김으로 보여요. 어떻게 해야 하나요?,개인,U+스마트홈,스마트홈 기기,AI리모컨,,
벨소리는 어떻게 다운받나요?,개인,모바일,부가서비스,뮤직,벨소리,
"U+스팸차단 앱에서 스팸이 차단되었다고 문자메시지가 왔는데, 차단된 문자메시지를 확인하려면 어떻게 해야 하나요?",개인,모바일,부가서비스,통화/메시지,스팸차단,
기가와이파이와 맘카 앱을 어떻게 연결해야 하나요?,개인,U+스마트홈,스마트홈 기기,맘카,,
핸드폰 할부금을 일시불로 납부하고 싶습니다.,개인,모바일,요금제,,,
낮인데 맘카 모니터링 화면이 흑백으로 나와요. 고장인가요?,개인,U+스마트홈,스마트홈 기기,맘카,,
신용카드로 요금을 납부할 수 있는 방법은?,개인,요금 및 납부,요금납부,,,
데이터를 마음껏 주고 받을 수 있는 건가요?,개인,모바일,요금제,데이터혜택,,
U+ ID 회원가입은 어떻게 하나요?,개인,서비스안내,,,,
납부방법 별 요금 결제일을 알고 싶습니다.,개인,요금 및 납부,요금납부,,,
데이터쉐어링은 모든 LTE 단말에서 등록이 가능한가요?,개인,모바일,부가서비스,데이터,데이터 안심옵션,
데이터가 다 소진되었는데요. 요금제 충전은 어디서할 수 있나요?,개인,모바일,부가서비스,신규/변경불가 부가서비스,U+ LTE블랙박스,
와이파이란 무엇인가요?,개인,인터넷,장비안내,와이파이,,
이사 때문에 인터넷과 IPTV를 다시 설치해야 하는데 설치비는 얼마인가요?,개인,가입 및 변경,설치장소 변경,,,
ID랑 비밀번호를 발급받았는데 접속이 되지 않아요! 어떻게 해야 하죠?,개인,인터넷,U+zone,이용안내,,
홈페이지에서 번호변경하는 방법을 알려주세요.,개인,서비스안내,홈페이지이용관련,,,
현금 영수증을 발급 받으려면 어떻게 해야 하나요?,개인,요금 및 납부,요금조회,,,
