,DATE,STAR,REVIEW
0,2020년 12월 22일,별표 5개 만점에 1개를 받았습니다.,수년 째 사용하고 있지만 다른 통신사에 비해서 혜택이 적음. 장기 이용 고객 어쩌고 하면서 인터넷 끼워팔라고만 하지 말고 혜택을 더 주는게 고객 유치에 좋아보임. 요새 폰도 잘 안 터지고 혜택도 이 모양이니 갈아타는게 현명할듯. 그리고 어플에 광고 꽂아놓은 꼬락서니를 보니 없던 정도 다 떨어짐.
1,2020년 12월 17일,별표 5개 만점에 1개를 받았습니다.,"장기이용자분들 후기 잘봤습니다. 저도 그말에 아주 공감합니다. 제휴혜택은 점점 없애고, 다른 서비스가 더 제공된다고 하는데 순전히 말뿐임. 1년전에도 같은문제로 고객센터와 통화했지만 여전히 더좋아진 혜택은 커녕 전혀 개선되지 않는 서비스에 실망감 뿐입니다. 말로만 개선하겠다는게 무슨의미가 있나요?"
2,2021년 1월 17일,별표 5개 만점에 1개를 받았습니다.,저도 장기vvip 고객입니다. 혜택당연히안좋죠 그나마 메가박스 1년12회무료일때 그때만쓸만했습니다. 말나온김에 왜자꾸 고객센터라며전화와서는 인터넷결합할인등 왜자꾸전화하는거죠? 그리고 SK나 KT로 통신사바꾸고싶은가장큰이유는 5G폰인데 5G가 안되요. LTE우선모드로 바꿔쓰래서 설정해놨는데 LTE도 잘안되요. 그래서 Z플립5G로 바꿨어요. 똑같애 ! 넷플릭스보는데 재생누르면 돌아가는표시그거 한 20초? 고화질로바뀌는것도 오래걸리고.. 암튼 유플러스쓰는거이제 얼마 안남았음
3,2021년 2월 2일,별표 5개 만점에 1개를 받았습니다.,헐 다들 그렇구나 정말이지 5지인데 왜자꾸끊기는지..그리구 LTE때는 데이터쿠폰 사용하기도 되더니 지금은 무용지물..잘터지면몰라도 5지전용이라 쿠폰사용할수없다그러고 요금제바꿀려고하는데 왠 반환금이 몇십만원이붙는지모르겠네 저역시 수년째이용하고 있는 VVIP인데 갈수록 해택이 거지같아짐..
4,2020년 12월 20일,별표 5개 만점에 1개를 받았습니다.,와 저만그렇게 생각하는게 아니었네요 ㅜㅜ 고객위하는척 광고로바뀌어버린앱.. 남들lg왜쓰냐할때 그래도lg쓰고했는데 더이상쓸이유가 없어지고있어요 그냥불평이아니라 정말루요 ~!계약기간이끝나는날만기다릴뿐
5,2021년 1월 1일,별표 5개 만점에 1개를 받았습니다.,19년도 20년도 초까지 메가박스만 이용했었는데...3월 이후는 코로나때문에 한번도 못썼는데...vvip라며 이거 포인트 엄청 주는것처럼 하시는데 정작 내가 쓸껀 거의 없네요.ㅋ 차라리 요금할인을 더해주던지. 알아서 쓸줄아는 사람은 해택을 보고 저 같은 사람은 .쫌.....너무들하신다.
6,2020년 12월 28일,별표 5개 만점에 4개를 받았습니다.,u플러스 멤버십을 이용하면서 cu에서 할인을 받고 포인트도 적립하면서 쓰고있습니다 그런데 모은 포인트들을 쓰지못하고 있습니다 포인트를 쓸 수 있는 방법을 알려주실 수 있나요?? 만약 다른 앱을 이용해야한다면 그 앱과 지금 u플러스 앱의 포인트를 연결해서 쓸 수있을까요??
7,2021년 1월 6일,별표 5개 만점에 1개를 받았습니다.,어이가 없다 멤버십 앱에다가 구글 애드 광고 넣는건 도대체 누구 머리에서 나온 아이디어임?? 이게 말이 되냐?? 내가 통신료 10만원 내가며 쓴 돈에 대한 혜택을 제공 받고자 멤버십 앱을 쓰는데 광고를 봐야돼?? 이거 광고 본 수익 나한테 주나?? 엘지는 뭐 없나?? 생각이란게?
8,2021년 1월 1일,별표 5개 만점에 1개를 받았습니다.,게임에서만 쳐보던게 나오네 ㅋㅋ 1.처음에 완전 강하고 좋은 혜택을 준다. 2. 너프 3. 너프 4.너프 ~~~~~~~초심 안챙기지? 바로 통신사변경한다 ㅋㅋ
9,2021년 2월 11일,별표 5개 만점에 1개를 받았습니다.,평가보고 깜짝 놀랐네요 저는 5g연결이 너무 안돼서 몆번이나 기사님 오셔서 확인해주셨는데 해결이 안돼서 포기하고 있었거든요 우리집문제만이 아니었네요?? 통신사 연락하면 자꾸 벽있어서 그렇다는데 그럼 화장실가면 신호떨어지고 침실에서 연결안되고 이런게 정상인건가요 ㅋㅋㅋㅋ 웃으면서 말하지만 정말 이상해서 그래요 심지어 집근처 주차장까지도 되던 와이파이가 5g 최신기기로 바꾼후부터 집에서도 신호가 바닥이에요
10,2021년 1월 9일,별표 5개 만점에 1개를 받았습니다.,7년 장기고객 vvip인데 ㅋㅋ 정작 쓸데없는 혜택뿐임.ㅋㅋ 심지어 근처에 쓸수있는 가게도 없고... 차타고 40분은 나가야함;;; Vip 혜택은 lg가 가장 구린듯
11,2021년 1월 17일,별표 5개 만점에 2개를 받았습니다.,나만 그렇게 생각한개 아니었네 5지 이후 통신 잘 안터지고 전화하니 이상없다고 유심카드 바꿔라고하고 그래도 안터지면 폰 문제일수있으니 삼성as센터 방문 하라고 하고 통신의 질부터 바꿔주세요 그리고vvip면 뭐합니까 말그대로 깡통 앱인대 데이터 주는것도 한번에 줄수있게 좀 바꿔주세요 1기가식 줄때마다 인증받고 또 주려면 1분후 줄수있고 장난하는것도 아니고 서비스 해주기 싫으면 아예 하지를 말든지 아주 짜증나 미치것다
12,2020년 12월 14일,별표 5개 만점에 3개를 받았습니다.,10년 이상 사용하고 있는 장기 사용자로 혜택은 엄청 많은 것 처럼 얘기 하는데 체감은 안되는 사용자는 저 뿐일가요? 무슨 혜택이 있는지 모르겠고 있던 혜택도 없어 지더이다 장기 이용자는 장기 호객인듯 ~~ 다른 통신사로 갈아 타야 하나 생각하게 되네요.
13,2021년 1월 20일,별표 5개 만점에 1개를 받았습니다.,별 빵개 없나 진짜 유플러스는 답이없는건가 아니면 발전을 못하고 그대로 머무르고 있는 그냥 돈만 밝히는 곳인가 생각이라는것을 조근 하고 나아갑시다 유팔러스 힘내라 로봇이 답변하나 아님 복사 붙여넣기의 답변 ㅋㅋㅋㅋ
14,2021년 2월 18일,별표 5개 만점에 1개를 받았습니다.,앰병 5g는무슨 20년전 ADSL쓰는것같다 동영상은 둘째치고 사진파일도 내려받기하는거같음ㅋㅋ AS기사님 와서 중계기 두번갈았는데 달라지는건없음 통신사 갈아타는게 정답
15,2021년 2월 16일,별표 5개 만점에 1개를 받았습니다.,"이게 말이 되는가요? 작년에 5g가 안되서 물었더니 2020년 말까지 모든 망이 제대로 깔릴거라고 양해하시라고 그래서 기다렸는데.지금 까지도 3g 4g 하고있으니 황당하네요. 모바일사업을 접는건 회사겠지만 소비자를 우롱 해서는 안됩니다,ㄷ"
16,2021년 2월 20일,별표 5개 만점에 3개를 받았습니다.,28일까지하던 출석체크 이벤트가 갑자기 사라졌네요... 열심히 출석체크 하고있었는데;;
17,2020년 12월 25일,별표 5개 만점에 1개를 받았습니다.,포인트엄청 많았는데. 그많던. 포인트는.다 소멸되구. 금액이. 16만원정도. 소멸되면. 문자나. 보내드려야하는데 그런것도. 없구. 진짜 황당그자체 엘지유플러스. 꽤 오래쓴. 사람인데 혜택 전혀. 없네요
18,2020년 12월 15일,별표 5개 만점에 1개를 받았습니다.,몇달전부터 계속 들어가면 유심카드를 인식할 수 없습니다 라고 뜨고 유심을 뺐다끼우고 껏다 켜봐도 안되네요 뭐가문제죠??
19,2021년 2월 8일,별표 5개 만점에 1개를 받았습니다.,유플 결혼전에도 사용했고 결혼후엔 아이들까지 사용중인데 다른곳과 점점더 비교됨. 곧 계약 끝나는데 진심 그날만 기다림.
