,DATE,STAR,REVIEW
0,2021년 3월 12일,별표 5개 만점에 1개를 받았습니다.,일시적인 오류(10)와이파이 끄라고해서 껏고 메일 보내라고 해서 보냈고 그럼 피드백 이 있어야하는거 아닌가요? 유관 부서로 메일 포워딩 하려고 보내라고 했습니까? 메일에도 말했듯이 이용료 내면서 이용하는 고객의 입장에서 내가 왜 이런 불편을 느껴야 하는지 이해가 전혀 가지 않네요 벌써 열흘도 훨씬 넘었네요 빠른 답변 바랍니다 ㅡ.ㅡ
1,2021년 3월 12일,별표 5개 만점에 5개를 받았습니다.,매번 잘 쓰고 있습니다~ㅎㅎ 업데이트가 잦아서 좀 귀찮을 수 있지만 버그가 없고 더 좋은 쪽으로 개선하기 위해서라고 생각해요'~'
2,2021년 3월 9일,별표 5개 만점에 1개를 받았습니다.,일시적인오류(10)이거는 맨날떠서 이용도 못하게함? 네트워크 불안정 같은 쌉소리 그만하세요! 5G나 와이파이 안테나 만땅일때도 뜨는데 원초적인 문제 해결하세요!
3,2021년 3월 12일,별표 5개 만점에 1개를 받았습니다.,오류는계속뜨고..통신사 엘지쓰면서 보는데 5G단말인데 어딜가나 LTE이고 티비는 맨날 버벅거리고 옛날폰이나 최신폰이나 오류투성이네요 월정액끊어놓고 후회중
4,2021년 3월 7일,별표 5개 만점에 1개를 받았습니다.,"네트웤 오류(10) 5G, wifi 모두 발생. 한 1주일 정도 지속되네요. 지우고 설지. 3회 반복.. 화면캡쳐도 있지요."
5,2021년 3월 9일,별표 5개 만점에 4개를 받았습니다.,어제 업데이트 한 이후로 가로보기로 하면 화면이 어두워져요 설정이랑 다 만져봐도 안되네요 유투브는 안그런데 이 앱으로 보는것만 그래요 세워보는건 괜찮고 가로로 보는거만요
6,2021년 3월 9일,별표 5개 만점에 1개를 받았습니다.,통신불량. 엄청 끊김 특편한 기능도 없구. 여전 좋았던 가능은 없애는..이건 모임. 통신사 연계 아님 안볼예정
7,2021년 3월 11일,별표 5개 만점에 1개를 받았습니다.,실시간 틀었는데 광고 나오길래 로그인 안한줄 알았네요.광고료 푼돈 벌려다가 넷플릭스로 다 떠나요.
8,2021년 3월 10일,별표 5개 만점에 5개를 받았습니다.,업데이트하라그래서 재설치하는데 계속 대기중이라고만 떠요.. 3/10알려주신대로 했더니 정상실행됩니다.감사합니다^^
9,2021년 3월 4일,별표 5개 만점에 5개를 받았습니다.,오랜시간 테블릿으로 이용을 많이 했습니다만 여전히 가로고정으로 이용할때 화면이 자동 회전이 되지않아 세로고정화면 어플이네요 가로고정에서도보기편하게 수정좀 부탁드립니다. 쿠팡플레이는 바로 수정해서 업데이트되었네요
10,2021년 1월 21일,별표 5개 만점에 5개를 받았습니다.,갤럭시 폰에서 미러링 케이블 사용하여 LCD 모니터로 확대하여 보고 있습니다.. 지금까지 갤럭시 스마트폰에서 미러링 케이블 연결하여 모니터로 확대하여 잘 보았는데 어제 날짜로 업데이트한 후부터 메뉴나 볼륨 조정 스크롤바 등은 보이는데 움직이는 모습은 안보입니다. 움직이지 않는 상태의 화면은 백프로 그대로 잘 나타나고 있습니다. 그런데 실행을 하면 전혀 안보입니다. 미러링 케이블로 유튜브도 정상적으로 되고 있으니 케이블 문제는 아닌게 분명한데 왜 안되나요? 단순 LCD모니터로에만 연결했으니 저작권 문제도 아니고 심지어 티빙으로 확인하면 문제없이 잘 되고 있습니다. 이번 업데이트부터 생긴 문제로 생각되는데 테스트나 점검을 해주시면 고맙겠습니다.
11,2021년 1월 20일,별표 5개 만점에 1개를 받았습니다.,이번주부터 갑자기 미러링을 통한 화면 공유가 안돼요. 모니터에서 영상이 안나오고 검은색 화면만 나오고 소리만 미러링되네요. 예전에 카카오페이지가 이렇게 화면공유가 안되어서 거긴 버렸는데 모바일tv마저 그렇게 바꾼건가요? 이래서는 웨이브로 갈아타야겠어요. 웨이브 넷플릭스 유튜브도 화면공유 잘되는데 모바일tv만 이렇게 안되다니 월정액사용중인데 너무 하네요.
