,DATE,STAR,REVIEW
0,2021년 2월 13일,별표 5개 만점에 2개를 받았습니다.,1. cctv 영상 확인할때마다 앱이 느릿느릿 로딩돼서 긴급시에 아쉬움. 2. cctv 실시간 화면을 전체화면으로 해두었을 때 문자가 오면 전체화면이 해제되는 점이 불편 3. 도어센서 알림이 안 옴(2021-02-09부터). 배터리도 양호하고 알림 시간설정도 제대로 되어있는데도 8일까진 잘 되다 갑자기 안 됨 4. 맘카영상 확인하려하면 종종 제어불가 또는 네트워크 오류 메시지가 뜨며 재시도 하라 함. 와이파이 신호는 끝까지 차 있는데. 5. 스마트홈 앱 사용하다 와이파이 끄고 모바일 데이터 쓸때 간혹 일부 앱 인터넷 먹통이 됨. 비행기모드했다 풀어야 다시 잡힘.
1,2021년 2월 28일,별표 5개 만점에 1개를 받았습니다.,"Cctv기록 조회시 '제어에 실패했습니다.재시도하거나 장치 상태확인바랍니다,(500)' 이런 단순한 반복에러도 해결이 안되니~~ㅠㅠ 제 앞에 리뷰 1000% 공감 같은 에러나 불편사힝 해결이 안되는 거 같네요 조치후 개별적으로 알려주시면 감사하겠습니다."
2,2021년 2월 9일,별표 5개 만점에 1개를 받았습니다.,"1. 녹화용량이 가득 찼을때, 가장 마지막 과거 데이터를 삭제 하는 기능이 없어 수동으로 삭제를 해줘야 녹화가 유지됨.. 2. 로딩속도가 옛날 맘카에 비해 더 느려졌음 PTZ도 예전 맘카가 더 부드럽게 제어 되었던듯.. 3. 녹화파일 재생이 오류 메시지(500) 뜨면서 안됨... 1번 성공 해봤음.. (두 개의 서로 다른 폰 기종으로 연결해봐도 마찬가지) 이 에러가 뜰경우 녹화목록에도 안들어가지기 때문에 녹화파일 삭제 조차도 할 수없음 추가적으로..와이파이연결중에 용량 10프로 미만 남았다고 알람이 쉴틈없이 날아오네요.. 한달 이내 개선 안될경우 해지 절차 들어갈예정임.."
3,2021년 1월 28일,별표 5개 만점에 3개를 받았습니다.,1. 콘센트에 자동화 기능이 너무제한적이네요 콘센트 켜진뒤 30분 후 꺼짐 같은 걸 할수가 없어요. 욕실 환풍기나 온풍기등 켜진뒤 끄는걸 잊어도 자동으로 꺼지게 설정하려고해도 자동화에서 같은 플러그는 선택이 안됩니다. 타 기기들 보면 인칭 이라는 기능으로 설정하거나 기기가 켜지면 딜레이 설정후 같은 플러그 꺼짐으로 설정이 가능한데요 . 업데이트 부탁합니다
4,2021년 2월 1일,별표 5개 만점에 1개를 받았습니다.,"무드등을 설정하려 했는데 제조사가 일룸밖에 되어있지 않아 블루투스와 와이파이를 켰음에도 불구하고 인식하지 못합니다. 무드등의 제조사가 과거 일룸이었다가 현재는 중국의 Sleepace로 바뀐 듯 한데, 아직도 어플에서는 변경이 안 되어 있어서 내 기기로 등록을 할 수가 없는 상태입니다. 빠른 시일 내에 확인 및 수정 부탁합니다."
5,2021년 3월 5일,별표 5개 만점에 2개를 받았습니다.,신축 건물 입주하고 처음부터 설치되어 있던 lg 에어컨들 얼마 전까지 원격으로 잘되다 어느날 작동이 안되어 고장인가 싶어서 에어컨 리모컨으로 확인해보니 작동이 되더라고요 원격으로는 며칠 전부터 되지 않고요 등록 해제 후 재등록하려니 몇 가지 인증하고 로그인해도 등록 실패하고 직접 구매한 것도 아니라 어떻게 하지도 못하고 맘 카 역시 사용한 지가 1년도 안되었는데 잘 되던게 어느 날부터 2대가 화면이 알록달록하게 깨지는 화면 나왔다가 어느 날은 보이고요 원격으로 이것저것 실행하고 강아지들 확인하려 설치했건만 정작 보지를 못하네요
6,2021년 2월 23일,별표 5개 만점에 1개를 받았습니다.,용량이 생각보다 금방 가득차서 자주 지워줘야 하는데 지우는게 너무 안들어가져요 수십번을 다시 들어가도 실패네요 돈내고 사용하는건데 서비스가 너무 불편합니다
7,2021년 1월 28일,별표 5개 만점에 1개를 받았습니다.,3년 동안 사용해봤는데 결과 적으로 너무 불편하게 사용했습니다. 이제 계약해지 하는것만 남았네요. 제대로 작동되지 않고 이제는 폰으로하는것도 잘작동 되지 않네요 . 3년동안 이야기 때문 해지 못하고 이제 3년 계약 만료 되어서 해지 합니다.
8,2021년 1월 28일,별표 5개 만점에 1개를 받았습니다.,엘지 오래 사용하고있는데 예전보다도 어플로딩이라던지 문제점 개선이 많이 더딘것같습니다. 어플불편함과 느린걸 꾸준히 말하고있는데도 개선이 안되고 오히려 오류뜨는건 더 잦아지고 오래가고요 간혹가다 그러는경우가 많아 기사님방문시에 문제점 찾기도 어렵고 개선좀 해주세요
9,2021년 1월 27일,별표 5개 만점에 1개를 받았습니다.,"휴젠뜨 2대랑, 하니웰 온도조절기 각방마다 4개구매해서 사용중인데요.. 구글홈에 연동이 제대로 되는게 맞나요? 스마트홈 앱은 구글홈에 연동은 되어 있는데 기기들이 보이질 않아서요.. ㅠ 방법이 있으면 알려주세요."
10,2021년 1월 27일,별표 5개 만점에 1개를 받았습니다.,위젯은 항상 먹통에 운이 좋아야 작동하고 멀티탭 에러는 하도 자주나서 몇번을 셀프로 재설정했는지 기억이 안날 정도네요. 솔직히 많이 실망스럽습니다.
11,2021년 1월 28일,별표 5개 만점에 1개를 받았습니다.,물건만 팔아먹고 쓰기불편하게하면 단타만보는겁니까? 직접사용해보면 뻔히나오는 오류를 안고치는건 뭐하자는건지 cctv다시보기 들어가보라고요. 열딱지나서 cctv던져버리고싶으니까.
12,2021년 2월 24일,별표 5개 만점에 1개를 받았습니다.,녹화용량 꽉차서 지우러 들어가려는데 계속 오류떠서 용량부족하다고 계속 알림뜨고 짜증나 죽겠습니다 진짜 욕나옵니다
13,2021년 1월 29일,별표 5개 만점에 3개를 받았습니다.,저장용량 이 거의없어 실질적으로 실시간확인 딱 그정도뿐이기에 아쉽고 다른걸로 바꾸고싶네요!
14,2021년 1월 27일,별표 5개 만점에 1개를 받았습니다.,카메라회전이안되서 불편해요 따로설치한카메라는 회전잘되는데.. 계약기간만아니면 해지하고싶어요 위약금도 너무쌔요 ㅡㅡ
15,2021년 2월 15일,별표 5개 만점에 3개를 받았습니다.,다른건좋은데 위젯에 콘센트 모두 켜기 끄기도 바로 할수 있게 개선 바랍니다
16,2021년 1월 29일,별표 5개 만점에 2개를 받았습니다.,맘카 실행시킬때 너무 자주 연결이 느리거나 안됨. 앱의 목적을 생각해볼때 너무 큰 문제점이라고 생각됨
17,2021년 2월 25일,별표 5개 만점에 1개를 받았습니다.,오류메세지 500 뜨면서 지난영상보기 왜 안되는겁니까 빠른 개선 부탁드려요
18,2021년 1월 27일,별표 5개 만점에 5개를 받았습니다.,항상 불안했는데 이앱을 쓰니 소통도 되고 좋아요 단점은 쫌 느린것같아용 하지만 멀티라면 그릴수도 있다 생각하고 넘겨요
19,2021년 3월 5일,별표 5개 만점에 1개를 받았습니다.,와 진짜 맘카때문에 열받아죽겠어요 계속알람떠서 잠깨서지우려는데 지난영상 에러500뜨면서 1시간 넘게안되는중이예요 이게한두번이아니라 자주 이래서 해지시키고싶어요..진짜 어느날은 반나절동안 안되고 영상지우라는알람은 미친듯이울리고 어쩌라는거죠?이새벽에...
20,2021년 1월 27일,별표 5개 만점에 1개를 받았습니다.,유플러스에 실망을 갖게 되는 어플.. 통신사에서 만든게 이정도라니..버벅임 엄청 심해요
21,2021년 2월 16일,별표 5개 만점에 1개를 받았습니다.,이거때문에 집에 와이파이 느려짐.. 극혐... 이거때문이라는건 상담원과 통화해서 상담원이 얘기해준것임
22,2021년 1월 27일,별표 5개 만점에 5개를 받았습니다.,"핸폰으로 누워서 불을키고 ,끄고 ~~~ 넘 편리하고, 손님들이 놀러와보고 부러워해요^^"
23,2021년 2월 1일,별표 5개 만점에 1개를 받았습니다.,접속자가 많아 확인 불가하다. 매번 한번에 확인 된적이 없네요ㅜ
24,2021년 1월 30일,별표 5개 만점에 1개를 받았습니다.,혼자 살아서 출.퇴근때 거실불만 켜고 끄고 하는데 작동이 되다 안되다 그러네요
25,2021년 1월 27일,별표 5개 만점에 3개를 받았습니다.,블루투스 연결할수있는 기능 추가요청/천둥번개 빗소리 추가요
26,2021년 2월 8일,별표 5개 만점에 3개를 받았습니다.,앱사용시 전원을키고 끌때마다 앱이팅겨져 나갑니다. 왜이런거죠?
27,2021년 1월 30일,별표 5개 만점에 1개를 받았습니다.,업데이트 한 후로 맘카는 하루종일 로딩중이고 업데이트 괜히했어요 전이 훨씬 더 빠르고 좋았네요
28,2021년 1월 27일,별표 5개 만점에 5개를 받았습니다.,노래를 선택하고 시간조절가능하게해주세용
29,2021년 3월 5일,별표 5개 만점에 2개를 받았습니다.,한달전부터 작동안되고 로딩만처리됩니다
30,2021년 3월 11일,별표 5개 만점에 2개를 받았습니다.,id생성 후 로스인 할때 서버연결 실패 창이 계속 떠요
31,2021년 3월 9일,별표 5개 만점에 3개를 받았습니다.,무드등 을 중고로구입해서 연결하려하는데 홈상품 가입안하면 등록이 안되나봐요?
